rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/02游戏首页/02-01开始按钮.png,.png,replaced,2246353,991470,2172,724,1536,512,1254883,55.86,resized long edge 2172->1536
反向大脑UI图/06排行榜/排行榜-本人胶囊.png,.png,replaced,1487085,275446,2172,724,1024,341,1211639,81.48,resized long edge 2172->1024
反向大脑UI图/03模式选择/11-02音乐挑战模式.png,.png,replaced,2620935,1437391,1916,821,1536,658,1183544,45.16,resized long edge 1916->1536
反向大脑UI图/03模式选择/11-04返回.png,.png,replaced,1693840,528513,1774,887,1024,512,1165327,68.80,resized long edge 1774->1024
反向大脑UI图/03模式选择/11-01普通模式.png,.png,replaced,2584370,1446439,1916,821,1536,658,1137931,44.03,resized long edge 1916->1536
反向大脑UI图/07设置/音效开关底图.png,.png,replaced,1443562,441479,1752,898,1024,525,1002083,69.42,resized long edge 1752->1024
反向大脑UI图/数字速找/游戏标题.png,.png,replaced,1763154,788266,2172,724,1536,512,974888,55.29,resized long edge 2172->1536
反向大脑UI图/03模式选择/11-03更多模式.png,.png,replaced,1953814,1017814,1916,821,1536,658,936000,47.91,resized long edge 1916->1536
反向大脑UI图/07设置/宽边框.png,.png,replaced,1186830,262899,2172,724,1024,341,923931,77.85,resized long edge 2172->1024
反向大脑UI图/04游戏进行页面/状态属性/10-02正常属性.png,.png,replaced,1382009,482361,2508,627,1536,384,899648,65.10,resized long edge 2508->1536
反向大脑UI图/04游戏进行页面/暂停/10-01继续游戏.png,.png,replaced,1265444,442006,2508,627,1536,384,823438,65.07,resized long edge 2508->1536
反向大脑UI图/07设置/窄边框.png,.png,replaced,1015231,200291,2172,724,1024,341,814940,80.27,resized long edge 2172->1024
反向大脑UI图/06排行榜/排行榜-前三名胶囊.png,.png,replaced,1000225,195378,2172,724,1024,341,804847,80.47,resized long edge 2172->1024
反向大脑UI图/07设置/标题.png,.png,replaced,1219253,420275,2508,627,1536,384,798978,65.53,resized long edge 2508->1536
反向大脑UI图/04游戏进行页面/状态属性/10-02异常属性.png,.png,replaced,1187927,395616,2508,627,1536,384,792311,66.70,resized long edge 2508->1536
反向大脑UI图/07设置/震动开关底图.png,.png,replaced,1099985,326860,1752,898,1024,525,773125,70.29,resized long edge 1752->1024
反向大脑UI图/06排行榜/排行榜-全球榜红.png,.png,replaced,1127280,479316,2172,724,1536,512,647964,57.48,resized long edge 2172->1536
反向大脑UI图/数字速找/请按顺序点击标题.png,.png,replaced,1072135,466985,2172,724,1536,512,605150,56.44,resized long edge 2172->1536
反向大脑UI图/07设置/音乐开关底图.png,.png,replaced,933055,344506,1536,1024,1024,683,588549,63.08,resized long edge 1536->1024
反向大脑UI图/07设置/音乐滑动条填充.png,.png,replaced,728258,149523,2172,724,1024,341,578735,79.47,resized long edge 2172->1024
反向大脑UI图/05游戏总结/05-01外围边框.png,.png,replaced,2030190,1458508,1448,1086,1448,1086,571682,28.16,recompressed
反向大脑UI图/05游戏总结/05-02内容边框.png,.png,replaced,1034930,479556,1774,887,1536,768,555374,53.66,resized long edge 1774->1536
反向大脑UI图/02游戏首页/头像框.png,.png,replaced,2537538,2063512,1536,1024,1536,1024,474026,18.68,recompressed
反向大脑UI图/未使用待确认/895F9C60-B27E-4F2A-9E1B-C4F735F3FCDF.png,.png,replaced,2987885,2523902,1024,1536,1024,1536,463983,15.53,recompressed
反向大脑UI图/06排行榜/排行榜-好友榜红.png,.png,replaced,816553,363639,2172,724,1536,512,452914,55.47,resized long edge 2172->1536
反向大脑UI图/07设置/音效滑动条填充.png,.png,replaced,539707,105767,2172,724,1024,341,433940,80.40,resized long edge 2172->1024
反向大脑UI图/04游戏进行页面/暂停/10暂停页面.png,.png,replaced,1111843,686076,1024,1536,1024,1536,425767,38.29,recompressed
反向大脑UI图/07设置/返回按钮.png,.png,replaced,536404,113583,2172,724,1024,341,422821,78.83,resized long edge 2172->1024
反向大脑UI图/04游戏进行页面/暂停/10-01返回首页.png,.png,replaced,657111,244426,2508,627,1536,384,412685,62.80,resized long edge 2508->1536
反向大脑UI图/04游戏进行页面/暂停/10-01重新开始.png,.png,replaced,647118,234902,2508,627,1536,384,412216,63.70,resized long edge 2508->1536
反向大脑UI图/07设置/声音图标.png,.png,replaced,894075,508929,1254,1254,1024,1024,385146,43.08,resized long edge 1254->1024
反向大脑UI图/通用组件/02-05最高分.png,.png,replaced,504712,121739,2172,724,1024,341,382973,75.88,resized long edge 2172->1024
反向大脑UI图/04游戏进行页面/暂停/10-01设置.png,.png,replaced,549871,192392,2508,627,1536,384,357479,65.01,resized long edge 2508->1536
