rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/02游戏首页/头像框.png,.png,replaced,2063512,336531,1536,1024,1024,683,1726981,83.69,resized long edge 1536->1024
反向大脑UI图/03模式选择/11-02音乐挑战模式.png,.png,replaced,1437391,683372,1536,658,1024,439,754019,52.46,resized long edge 1536->1024
反向大脑UI图/03模式选择/11-01普通模式.png,.png,replaced,1446439,699303,1536,658,1024,439,747136,51.65,resized long edge 1536->1024
反向大脑UI图/05游戏总结/05-01外围边框.png,.png,replaced,1458508,798602,1448,1086,1024,768,659906,45.25,resized long edge 1448->1024
反向大脑UI图/04游戏进行页面/道具/道具数量提示-1.png,.png,replaced,2037943,1433706,1254,1254,1024,1024,604237,29.65,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/道具/道具数量提示-2.png,.png,replaced,1966532,1386916,1254,1254,1024,1024,579616,29.47,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/激励提示UI/有点东西.png,.png,replaced,1834251,1273872,1254,1254,1024,1024,560379,30.55,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/道具/道具数量提示-0.png,.png,replaced,1881257,1323132,1254,1254,1024,1024,558125,29.67,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/道具/道具数量提示-3.png,.png,replaced,1794658,1268007,1254,1254,1024,1024,526651,29.35,resized long edge 1254->1024
反向大脑UI图/03模式选择/11-03更多模式.png,.png,replaced,1017814,493449,1536,658,1024,439,524365,51.52,resized long edge 1536->1024
反向大脑UI图/04游戏进行页面/反馈提示/点击成功图标.png,.png,replaced,1707564,1189353,1254,1254,1024,1024,518211,30.35,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/反馈提示/点击失败图标.png,.png,replaced,1705068,1191221,1254,1254,1024,1024,513847,30.14,resized long edge 1254->1024
反向大脑UI图/02游戏首页/02-01开始按钮.png,.png,replaced,991470,484609,1536,512,1024,341,506861,51.12,resized long edge 1536->1024
反向大脑UI图/04游戏进行页面/道具/复活之心.png,.png,replaced,1589468,1115361,1254,1254,1024,1024,474107,29.83,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/激励提示UI/你是真会啊.png,.png,replaced,1528378,1056804,1254,1254,1024,1024,471574,30.85,resized long edge 1254->1024
反向大脑UI图/02游戏首页/游客头像2.png,.png,replaced,1607856,1136813,1254,1254,1024,1024,471043,29.30,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/道具/正向罗盘.png,.png,replaced,1559574,1091800,1254,1254,1024,1024,467774,29.99,resized long edge 1254->1024
反向大脑UI图/04游戏进行页面/倒计时/3.png,.png,replaced,1489648,1048880,1254,1254,1024,1024,440768,29.59,resized long edge 1254->1024
